,City,Latitude,Temperature,Humidity,Cloud Coverage,Wind Speed
0,Sao Sebastiao,-23.76,73.24,98,64,9.26
1,Merauke,-8.47,84.58,96,48,9.93
2,Litovko,49.24,4.03,62,32,3.38
3,Tual,-5.67,82.69,100,0,5.28
4,Itamaraca,-7.75,77.85,74,40,6.93
5,Chapleau,47.84,26.6,92,90,10.29
6,Fredericton,45.95,30.2,74,90,16.11
7,Buchanan,5.88,78.5,100,76,7.52
8,Krasnyy Kut,50.95,23.24,78,0,6.73
9,Bonthe,7.53,76.88,97,20,3.49
10,Jerome,42.72,33.21,69,1,12.75
11,Yarmouth,41.71,36.68,59,1,12.75
12,Karratha,-20.74,85.48,45,0,9.08
13,Ures,29.43,62.39,43,0,3.56
14,Veseloyarsk,51.28,27.43,79,32,15.68
15,Lavrentiya,65.58,23.15,100,36,1.03
16,Gladstone,-23.85,75.35,73,76,10.83
17,Sao Filipe,14.9,77.11,100,24,10.27
18,Lekoni,-1.58,68.02,97,36,5.28
19,Kavaratti,10.57,84.8,97,0,9.26
20,Skjervoy,70.03,28.96,100,0,16.35
21,Eura,61.13,40.17,86,20,5.82
22,Hasaki,35.73,50.81,76,75,2.24
23,Nanortalik,60.14,26.39,94,0,16.35
24,Coatesville,39.98,34.79,59,1,4.7
25,Hutchinson,38.06,63.3,63,1,4.7
26,The Valley,18.22,82.24,97,92,9.6
27,Yuci,37.68,28.4,23,0,8.95
28,Menongue,-14.66,69.95,34,92,5.57
29,Latung,5.5,83.41,100,0,7.81
30,Canon City,38.44,54.27,46,40,10.29
31,Mahebourg,-20.41,73.4,88,75,3.36
32,Kodinsk,58.69,3.94,80,92,2.89
33,Mandalay,21.97,71.6,94,40,2.24
34,Taltal,-25.4,51.59,100,36,0.36
35,Shimoda,34.67,60.8,67,75,10.29
36,New Richmond,45.12,36.41,100,90,4.7
37,Langham,52.37,5.0,71,75,14.99
38,Smolensk,54.78,33.37,95,88,8.59
39,Aura,60.62,41.0,86,76,8.05
40,Vanimo,-2.67,84.31,100,48,9.42
41,Constitucion,-35.33,56.0,77,0,16.42
42,Butaritari,3.07,83.0,100,68,5.28
43,Balatonalmadi,47.04,40.06,86,90,11.41
44,Migori,-1.06,60.95,100,8,5.5
45,Itacarambi,-15.1,71.75,85,56,3.49
46,Barrow,71.29,12.2,85,90,8.05
47,Bredasdorp,-34.53,60.8,77,12,6.93
48,Hami,42.8,30.76,71,80,5.12
49,Amboasary,-25.03,73.4,94,75,4.7
50,Petrivka,46.97,42.8,93,90,6.71
51,Vardo,70.37,37.91,100,88,17.31
52,Batagay,67.63,-18.93,80,44,4.12
53,Drochia,48.03,36.38,95,88,3.11
54,Ternate,0.8,84.94,100,12,2.82
55,Port Macquarie,-31.43,71.6,60,90,19.46
56,Itanhem,-17.17,66.89,94,0,7.02
57,Ayagoz,47.97,7.4,71,36,3.27
58,Vanavara,60.34,-8.4,79,80,4.23
59,Kathu,7.92,84.2,70,20,8.05
60,Yara,20.28,73.01,88,100,8.37
61,Oriximina,-1.77,84.94,59,0,6.29
62,Contai,21.78,74.63,100,100,9.6
63,Balaipungut,1.05,80.6,83,0,3.56
64,Haimen,23.19,78.8,78,40,7.14
65,Vidim,56.41,11.23,74,88,4.9
66,Strezhevoy,60.73,15.8,100,90,4.47
67,Lashio,22.93,73.33,81,0,2.55
68,Ukiah,39.15,48.2,76,1,1.99
69,Kurumkan,54.3,-8.26,70,0,1.99
70,Lompoc,34.64,56.98,87,1,4.7
71,Rio Claro,-22.41,68.0,94,40,3.36
72,Haines Junction,60.75,0.25,93,80,2.21
73,Young,-32.68,61.54,65,0,13.29
74,Voh,-20.97,74.14,94,36,17.58
75,Bathsheba,13.22,80.6,88,40,12.75
76,Adiake,5.29,80.6,88,40,3.36
77,Ewa Beach,21.32,77.45,61,75,9.17
78,Cabudare,10.03,73.4,83,20,5.82
79,Progreso,21.28,75.2,69,5,5.82
80,Kotelnich,58.31,30.94,88,92,10.42
81,Colares,38.8,48.13,71,0,3.36
82,Geraldton,-28.77,69.8,60,40,12.75
83,Kayankulam,9.18,80.75,100,0,2.89
84,Touros,-5.2,75.35,96,88,10.87
85,Namibe,-15.2,69.5,100,0,3.11
86,Puerto del Rosario,28.5,66.7,72,8,12.75
87,Bambanglipuro,-7.95,80.44,94,92,4.27
88,Warrnambool,-38.38,67.16,91,12,5.5
89,Boshnyakovo,49.63,18.97,100,32,5.28
90,Narrabri,-30.32,65.41,88,92,7.52
91,Santa Luzia,-19.77,74.32,64,0,5.82
92,Santa Maria,-29.68,69.8,88,75,3.36
93,Chingola,-12.53,64.06,95,48,8.93
94,East London,-33.02,60.5,100,0,7.58
95,Marawi,8.0,82.01,71,24,2.04
96,Otane,-39.88,55.46,62,64,12.06
97,Southbridge,42.08,31.26,31,20,6.93
98,Collie,-33.37,68.56,72,68,9.64
99,Bell Ville,-32.63,62.21,29,64,13.62
100,Altay,47.87,-4.17,43,0,2.33
101,Medea,36.26,44.6,93,20,2.26
102,Liverpool,53.41,44.47,87,75,14.99
103,San Vicente,-26.62,65.45,99,92,2.89
104,Grand Island,40.92,44.96,70,40,14.99
105,Husavik,66.04,26.6,86,75,8.05
106,Chernyshevskiy,63.01,-14.43,100,32,5.23
107,Hermosillo,29.07,77.0,23,5,5.57
108,Petlawad,23.0,67.03,75,0,11.39
109,Lerwick,60.15,41.9,60,56,20.8
110,Torata,-17.08,34.72,77,8,1.25
111,Moyo,3.66,63.83,85,8,3.56
112,Cabra,37.47,39.4,93,0,3.71
113,Vao,-22.67,71.93,100,32,13.56
114,Mildura,-34.2,70.54,95,32,3.33
115,Sita Road,27.03,55.69,71,0,4.79
116,Carlagan,14.97,80.75,100,100,5.23
117,Hit,33.64,48.67,73,0,2.71
118,Boysun,38.21,28.01,100,68,1.54
119,Talnakh,69.49,-27.93,44,20,2.82
120,Itoman,26.12,77.0,74,75,17.22
121,Muisne,0.6,69.59,92,8,4.72
122,Caruray,10.31,81.2,100,12,13.06
123,Talara,-4.58,62.93,93,8,7.02
124,Przasnysz,53.02,36.52,96,80,8.3
125,Solnechnyy,50.72,2.32,67,44,3.6
126,Doctor Arroyo,23.67,52.31,72,0,4.05
127,Uva,56.99,28.19,87,92,6.13
128,Businga,3.33,68.29,99,92,4.83
129,Lubango,-14.92,51.28,79,0,1.21
130,Winneba,5.35,78.8,94,0,6.93
131,Chik,54.99,30.2,80,90,11.18
132,Dolores,-36.31,51.5,67,0,15.86
133,Srandakan,-7.94,80.44,94,92,4.27
134,Alpena,45.06,37.44,93,90,16.11
